ID,Population,Median Age,Unemployment Rate,Median Income,Poverty Rate,Median House Price
OH11,684617,39.3,9.5,22.7,28.0,101400
IL12,679002,40.4,5.2,14.5,23.9,116300
WA7,817787,35.8,3.5,8.6,62.3,718500
FL25,796422,42.8,3.0,14.3,26.9,312600
RI2,529295,40.8,4.2,9.5,35.4,284100
CA51,740797,33.7,10.0,17.5,15.7,385300
OR3,853116,37.6,4.3,11.6,44.3,417100
MI11,735677,42.4,3.0,5.7,49.1,267700
AZ9,818850,33.3,4.5,13.9,41.4,310800
CA7,756668,39.1,5.4,10.1,33.7,421700
TX29,783915,30.3,6.0,22.2,11.6,133000
CA19,737535,37.4,3.8,7.2,37.1,894400
OK1,809500,36.6,4.8,13.3,32.0,165600
VA8,813568,36.5,3.1,8.4,63.3,588000
TN8,711068,41.2,3.7,11.9,30.6,176500
IA3,848170,37.4,4.1,9.4,35.2,187800
NM3,699985,39.3,5.5,17.5,27.7,194000
NY24,701841,40.4,3.9,14.2,32.0,140700
CT2,701590,42.3,4.8,7.5,35.8,261600
OH8,733811,39.0,4.3,11.9,25.3,163800
FL16,873875,48.3,5.1,9.7,33.1,265700
KS4,723075,36.9,5.0,11.9,30.0,144100
OR2,841022,42.3,5.6,13.0,27.0,288600
GA2,671831,37.3,9.4,23.9,18.4,111700
KS3,779860,37.1,3.1,8.6,48.5,261800
MI6,721508,39.1,4.3,13.9,28.5,163700
AL4,687453,41.1,4.3,15.6,17.5,132800
MI9,718223,39.9,4.5,9.3,31.3,172100
MD6,769046,39.6,3.9,8.3,43.3,322200
KY3,742543,38.3,4.6,14.4,34.4,179500
PR10,744681,40.3,3.5,9.9,32.2,183800
WI5,733314,42.5,3.2,6.4,38.2,252700
WI6,715828,42.0,2.5,8.0,28.3,174700
ID2,852239,34.6,4.0,13.1,30.6,227500
TX13,714733,37.0,3.2,13.2,21.3,128900
MT1,1068778,40.5,4.1,12.6,33.6,253600
KY5,689793,41.3,7.5,25.0,13.8,87500
NY3,725746,45.9,3.3,5.2,56.2,645300
MO7,787917,38.2,3.9,16.0,24.9,152500
TX36,758238,37.0,6.2,13.0,19.4,158600
CA30,764062,40.5,4.5,9.5,45.2,717000
TX7,762826,35.6,4.2,10.3,50.3,270800
OH9,697570,37.5,6.3,20.0,23.8,113700
IN8,716924,40.3,4.8,12.3,22.1,128800
CA8,723311,33.4,8.5,16.6,17.3,270000
SD1,884659,37.7,3.0,11.9,29.7,185000
VT1,623989,42.8,3.4,10.2,38.7,233200
IN3,753051,37.4,3.5,9.8,24.5,144800
UT1,787582,31.1,2.7,7.7,31.8,288400
FL4,836235,39.3,4.4,8.0,41.9,278900
SC4,754148,38.4,4.0,11.0,33.4,187200
CA14,742980,40.1,3.0,6.6,49.5,1161400
FL18,795742,48.1,4.3,8.6,32.3,284500
PR14,678915,45.6,5.0,12.0,27.5,156700
MN7,668096,40.5,3.2,10.4,23.4,171500
IN4,767105,36.7,3.3,11.0,26.6,155100
AL7,670015,36.8,6.8,23.7,21.6,107400
TN3,743225,41.6,5.8,15.3,26.1,174500
KS1,694498,36.3,3.5,13.3,26.1,128600
MI1,697102,47.1,5.2,11.7,26.2,147000
IL1,711039,38.8,8.0,16.0,31.3,199800
NM1,691229,39.1,5.1,16.3,34.5,209500
IL15,685859,41.4,3.8,11.9,20.9,109400
CA24,737443,36.5,4.2,12.0,35.7,624900
NJ6,739726,37.7,3.8,9.4,41.1,365600
GA10,757807,37.7,4.7,13.6,29.6,201600
CA17,790519,36.7,3.5,5.1,60.2,1137100
NJ7,734239,43.0,4.5,5.4,54.8,461800
CA13,768889,37.0,4.4,13.2,53.8,858500
TX14,760530,37.3,3.8,12.4,25.0,180000
AL3,717896,38.9,5.9,15.0,24.0,144700
MI14,689939,37.0,7.9,19.3,35.0,151900
FL23,762858,41.8,3.6,9.7,40.6,343700
KY2,774897,38.8,4.9,14.8,21.9,158100
PR8,698973,43.0,4.7,14.6,24.3,150500
PR7,731467,40.6,4.4,10.0,30.1,223000
NM2,705615,37.3,5.9,20.7,20.5,145200
KY6,780800,37.2,4.8,15.2,33.3,173400
NJ4,748199,41.1,3.6,7.9,44.3,382700
MD1,737341,43.0,3.2,9.4,33.1,291800
CA4,757806,44.9,4.2,8.4,35.2,473100
CA18,753806,39.7,2.6,4.6,65.8,1588400
NY6,714299,42.0,3.7,10.8,38.2,694100
WA5,734322,38.2,6.1,14.0,30.4,255100
CA49,731366,39.0,5.1,6.0,47.2,748200
IN6,720190,40.5,3.9,12.8,21.6,142400
MD8,776393,40.5,4.0,6.8,54.4,467200
NY10,732732,37.0,3.6,13.6,63.3,1121800
CA40,715934,31.2,6.3,20.0,10.1,500800
TX34,712596,32.5,5.0,24.7,15.5,86500
